xmin,xmax,text,file
2.158242862654321,2.3121751875407694,l,KS-S01-JA_aleke_127_1.wav
1.865288607226107,2.0390365305280524,l,KS-S01-JA_aleke_128_2.wav
2.2953638888888888,2.4479068665628243,l,KS-S01-JA_aleke_157_1.wav
2.2479361689814814,2.333542852303523,l,KS-S01-JA_aleke_158_2.wav
2.7493533442982456,2.971061331590621,l,KS-S01-JA_aleke_244_1.wav
2.249067049808429,2.5559645498332033,l,KS-S01-JA_aleke_245_2.wav
2.027965569338422,2.3436593309859153,l,KS-S01-JA_aleke_44_1.wav
2.405610518292683,2.5794663553639845,l,KS-S01-JA_aleke_59_1.wav
2.40839138576779,2.7051472835153167,l,KS-S01-JA_aleme_20_1.wav
1.3463390131578947,1.6288410517068272,l,KS-S01-JA_aleme_263_2.wav
2.2533992346938776,2.455491545475531,l,KS-S01-JA_aleme_87_1.wav
2.2471855918418417,2.495209034974093,l,KS-S01-JA_aleme_88_2.wav
2.0037540733830848,2.1644590729041315,l,KS-S01-JA_aleme-a_195_1.wav
2.022581414473684,2.244992611967694,l,KS-S01-JA_aleme-a_196_2.wav
1.8952829272598868,2.2095355497542997,l,KS-S01-JA_aleme-n_262_1.wav
2.0175666372318157,2.2588883207070705,lh,KS-S01-JA_alhekere_151_1.wav
2.2188209005376343,2.3886730582094833,lh,KS-S01-JA_alhekere_152_2.wav
2.190636239711934,2.3733327866022096,lh,KS-S01-JA_alhekere_18_2.wav
1.7189568212365591,2.0161469726562498,lh,KS-S01-JA_alhekere_246_1.wav
2.024557425213675,2.2335414487447696,lh,KS-S01-JA_alhekere_247_2.wav
2.7284518107476634,2.8842662037037035,lh,KS-S01-JA_alhekere_56_1.wav
2.4520991597605892,2.762056701030928,lh,KS-S01-JA_alhekere_83_1.wav
2.724956597222222,2.947437013553408,lh,KS-S01-JA_alhekere_84_2.wav
2.10765807748538,2.2984392817982453,ly,KS-S01-JA_Alyeke_103_1.wav
1.958409806910569,2.285360513245033,ly,KS-S01-JA_Alyeke_104_2.wav
2.032057856425703,2.2689611645299146,ly,KS-S01-JA_Alyeke_254_1.wav
2.2543746260683757,2.4867541666666666,ly,KS-S01-JA_Alyeke_255_2.wav
2.1075175304878044,2.3735038841807907,ly,KS-S01-JA_Alyeke_30_1.wav
2.4071069791321924,2.6202676415281076,ly,KS-S01-JA_Alyeke-a_187_1.wav
2.2693253792356183,2.5909200204335465,ly,KS-S01-JA_Alyeke-a_188_2.wav
1.9595555357142855,2.095833878205128,ly,KS-S01-JA_alyepe_169_1.wav
2.220520833333333,2.37654483251634,ly,KS-S01-JA_alyepe_170_2.wav
2.0905278786307053,2.2408471024904215,ly,KS-S01-JA_alyepe_23_1.wav
1.6448208333333332,1.8064680147058823,ly,KS-S01-JA_alyepe_240_1.wav
